transaction,actual,budgeted,date,subcategory
LOCAL INTEREST ON CALL,8.04685685,8.04685685,2018-04-03,OTHER INFLOWS
DIVIDENDS,58.41,58.41,2018-04-03,OTHER INFLOWS
EXCH. RATE DIFF,-3.00705988,-3.00705988,2018-04-03,TREASURY PAYMENTS
INTEREST LOCAL,-6.191095880000001,-6.191095880000001,2018-04-03,TREASURY PAYMENTS
INTEREST FOREIGN,-0.07264854,-0.07264854,2018-04-03,TREASURY PAYMENTS
WHOLESALE FOREX PAYMENTS,-2.304918,-2.304918,2018-04-03,WHOLESALE PAYMENTS
LOCAL AP,-0.18180559,-0.1,2018-04-03,ACCOUNTS PAYABLE
OTHER / TELKOM MOBILE,190.94623248,0.0,2018-04-03,COLLECTIONS
ABSA BANK,185.57803941,155.0,2018-04-03,COLLECTIONS
STD BANK,3.83341647,0.0,2018-04-03,COLLECTIONS
AP FOREX PAYMENTS,-165.45486903,-165.45486903,2018-04-03,ACCOUNTS PAYABLE
CASHIERS,-0.02723711,-0.19,2018-04-03,ACCOUNTS PAYABLE
STD BANK,0.74119883,0.0,2018-04-05,COLLECTIONS
ABSA BANK,135.51561874,75.0,2018-04-05,COLLECTIONS
LOCAL AP,-1.99724812,-1.85,2018-04-05,ACCOUNTS PAYABLE
CASHIERS,-0.0126557,-0.166,2018-04-05,ACCOUNTS PAYABLE
MONEY MARKET FEES,0.0010108,0.0010108,2018-04-05,TREASURY PAYMENTS
STD BANK,1.67937974,0.0,2018-04-09,COLLECTIONS
ABSA BANK,71.29054715,150.0,2018-04-09,COLLECTIONS
LOCAL AP,-1.13359759,-0.1,2018-04-09,ACCOUNTS PAYABLE
MONEY MARKET FEES,-0.59929704,-0.59929704,2018-04-09,TREASURY PAYMENTS
SALARIES,13.01018119,,2018-04-11,STAFF COSTS
CASHIERS,-0.37438335,-4.3,2018-04-11,ACCOUNTS PAYABLE
MTN / VODACOM / CELL-C / NEOTEL,14.31746371,0.0,2018-04-11,COLLECTIONS
ABSA BANK,103.6951901,85.0,2018-04-11,COLLECTIONS
STD BANK,1.12358635,0.0,2018-04-11,COLLECTIONS
LOCAL AP,-3.98607315,-0.1,2018-04-11,ACCOUNTS PAYABLE
EXCH. RATE DIFF,-26.68913081,-26.68913081,2018-04-13,TREASURY PAYMENTS
INTERNATIONAL ROAMING (GSM)  - ,-61.88082697,-68.70992138,2018-04-13,WHOLESALE PAYMENTS
WHOLESALE FOREX PAYMENTS,-13.15344543,-13.15344543,2018-04-13,WHOLESALE PAYMENTS
TELKOM MOBILE & DOMESTIC OPERATORS ,-21.73611132,-8.57701903,2018-04-13,WHOLESALE PAYMENTS
CASHIERS,-0.3856557,-0.4991332,2018-04-13,ACCOUNTS PAYABLE
LOCAL AP,-161.4283443,-161.31383227,2018-04-13,ACCOUNTS PAYABLE
BCX CREDITOR RECEIPTS,7.67955726,,2018-04-13,OTHER INFLOWS
WHOLESALE FX RECEIPTS,20.22168436,20.22168436,2018-04-13,OTHER INFLOWS
MTN / VODACOM / CELL-C / NEOTEL,6.04376743,37.0981098,2018-04-13,COLLECTIONS
OTHER / TELKOM MOBILE,14.28984763,14.48523651,2018-04-13,COLLECTIONS
ABSA BANK,131.43201433,168.41665369,2018-04-13,COLLECTIONS
STD BANK,1.08977694,0.0,2018-04-13,COLLECTIONS
AP FOREX PAYMENTS,-53.83573301,-53.83573301,2018-04-13,ACCOUNTS PAYABLE
MONEY MARKET FEES,-0.02271804,-0.02271804,2018-04-17,TREASURY PAYMENTS
STD BANK,1.43663807,0.0,2018-04-17,COLLECTIONS
LOCAL AP,-1.69488871,-0.1,2018-04-17,ACCOUNTS PAYABLE
ABSA BANK,74.48940699,140.0,2018-04-17,COLLECTIONS
CASHIERS,-0.12433107,-1.82,2018-04-17,ACCOUNTS PAYABLE
STD BANK,0.61702146,0.0,2018-04-19,COLLECTIONS
ABSA BANK,125.947369,160.0,2018-04-19,COLLECTIONS
OTHER / TELKOM MOBILE,6.9,0.0,2018-04-19,COLLECTIONS
TRUDON COLLECTIONS REFUND,-77.39787896,-92.0,2018-04-19,OTHER INFLOWS
BCX CREDITOR RECEIPTS,1.78615593,,2018-04-19,OTHER INFLOWS
LOCAL AP,-0.57497667,-0.5,2018-04-19,ACCOUNTS PAYABLE
CASHIERS,-0.21899868,-0.34,2018-04-19,ACCOUNTS PAYABLE
STD BANK,1.86259114,0.0,2018-04-23,COLLECTIONS
ABSA BANK,78.28297402,75.0,2018-04-23,COLLECTIONS
LOCAL AP,-1.33231797,-1.04,2018-04-23,ACCOUNTS PAYABLE
DIRECTOR'S FEES,-0.01406246,-0.01406246,2018-04-25,TREASURY PAYMENTS
INTEREST LOCAL,-29.54907123,-29.54907123,2018-04-25,TREASURY PAYMENTS
SALARIES,-207.63281309,-208.90763343,2018-04-25,STAFF COSTS
CASHIERS,0.13922902,-0.49882239,2018-04-25,ACCOUNTS PAYABLE
E-FILLING,-0.24485154,-0.2942033,2018-04-25,STAFF COSTS
LOCAL AP,-3.81919056,-1.6,2018-04-25,ACCOUNTS PAYABLE
ABSA BANK,209.32501261,180.0,2018-04-25,COLLECTIONS
STD BANK,1.23344545,0.0,2018-04-25,COLLECTIONS
BONDS,-14.58263766,-14.58263766,2018-04-25,STAFF COSTS
SALARIES,-6.91115477,-6.91115477,2018-04-30,STAFF COSTS
MONEY MARKET FEES,-0.0038435,-0.0038435,2018-04-30,TREASURY PAYMENTS
EXCH. RATE DIFF,27.80419969,27.80419969,2018-04-30,TREASURY PAYMENTS
MEDSCHEMES,-25.68833164,-25.68833164,2018-04-30,STAFF COSTS
BESTMED,-11.7411409,-11.7411409,2018-04-30,STAFF COSTS
PENSIONS,-0.220244,-0.220244,2018-04-30,STAFF COSTS
VAT,-68.12906012,-68.13,2018-04-30,SARS
ABSA BANK,603.99940931,500.0,2018-04-30,COLLECTIONS
WHOLESALE FOREX PAYMENTS,-45.75911807,-45.75911807,2018-04-30,WHOLESALE PAYMENTS
STD BANK,2.98457898,0.0,2018-04-30,COLLECTIONS
WHOLESALE FX RECEIPTS,15.44507934,15.44507934,2018-04-30,OTHER INFLOWS
LOCAL AP,-1022.45363696,-1119.239,2018-04-30,ACCOUNTS PAYABLE
INTERNATIONAL ROAMING (GSM)  - ,-69.04173306,-69.04173306,2018-04-30,WHOLESALE PAYMENTS
CASHIERS,0.59525105,-1.22,2018-04-30,ACCOUNTS PAYABLE
BCX,-358.41,-358.41,2018-04-30,ACCOUNTS PAYABLE
AP FOREX PAYMENTS,-204.55986496000003,-204.55986496000003,2018-04-30,ACCOUNTS PAYABLE
CASHIERS,-0.18877176,-0.29,2018-05-02,ACCOUNTS PAYABLE
INTEREST LOCAL,-3.02054795,-3.02054795,2018-05-02,TREASURY PAYMENTS
LOCAL INTEREST ON CALL,8.95537246,8.95537246,2018-05-02,OTHER INFLOWS
ABSA BANK,210.78409117,200.0,2018-05-02,COLLECTIONS
STD BANK,3.84103649,,2018-05-02,COLLECTIONS
LOCAL AP,-98.29011331,-98.26336796,2018-05-02,ACCOUNTS PAYABLE
STD BANK,2.49630842,,2018-05-04,COLLECTIONS
ABSA BANK,185.26277546,160.0,2018-05-04,COLLECTIONS
CASHIERS,-0.61340893,-0.60384071,2018-05-04,ACCOUNTS PAYABLE
LOCAL AP,-83.18705529,-83.2523695,2018-05-04,ACCOUNTS PAYABLE
STD BANK,1.97729825,,2018-05-08,COLLECTIONS
ABSA BANK,67.31785579,80.0,2018-05-08,COLLECTIONS
LOCAL AP,-1.18604065,-1.24382686,2018-05-08,ACCOUNTS PAYABLE
CASHIERS,-0.20302426,-0.20617314,2018-05-08,ACCOUNTS PAYABLE
MONEY MARKET FEES,-1.85147338,-1.85147338,2018-05-08,TREASURY PAYMENTS
EMPLOYEE SALE OF SHARES,0.38242387,,2018-05-10,STAFF COSTS
CASHIERS,-0.2552479,-0.26086491,2018-05-10,ACCOUNTS PAYABLE
ABSA BANK,71.30603678,85.0,2018-05-10,COLLECTIONS
STD BANK,1.32764403,,2018-05-10,COLLECTIONS
LOCAL AP,-5.05913509,-5.05913509,2018-05-10,ACCOUNTS PAYABLE
STD BANK,1.62455237,,2018-05-14,COLLECTIONS
ABSA BANK,77.72858975,130.0,2018-05-14,COLLECTIONS
LOCAL AP,-0.85278272,-0.96,2018-05-14,ACCOUNTS PAYABLE
FOREX PURCHASES,-61.7125,-61.7125,2018-05-14,TREASURY PAYMENTS
STD BANK,1.40064934,,2018-05-16,COLLECTIONS
ABSA BANK,140.93921142,120.0,2018-05-16,COLLECTIONS
LOCAL AP,-0.91092571,-1.0120364,2018-05-16,ACCOUNTS PAYABLE
CASHIERS,-0.25961464,-0.2879636,2018-05-16,ACCOUNTS PAYABLE
MONEY MARKET FEES,-0.37578924,-0.37578924,2018-05-18,TREASURY PAYMENTS
BCX,-439.82891178,-439.82891178,2018-05-18,ACCOUNTS PAYABLE
TRUDON COLLECTIONS REFUND,-64.08336668,-64.08336668,2018-05-18,OTHER INFLOWS
LOCAL AP,-19.10472289,-19.53635982,2018-05-18,ACCOUNTS PAYABLE
ABSA BANK,99.34739889,160.0,2018-05-18,COLLECTIONS
STD BANK,2.54141417,,2018-05-18,COLLECTIONS
CASHIERS,-0.24610672,-0.33636172,2018-05-18,ACCOUNTS PAYABLE
STD BANK,2.06904485,,2018-05-22,COLLECTIONS
ABSA BANK,69.42245091,86.0,2018-05-22,COLLECTIONS
LOCAL AP,-3.35947609,-3.36231007,2018-05-22,ACCOUNTS PAYABLE
CASHIERS,-0.13768993,-0.13768993,2018-05-22,ACCOUNTS PAYABLE
PENSIONS,-51.09341509,-51.09341509,2018-05-24,STAFF COSTS
TELKOM MOBILE & DOMESTIC OPERATORS ,-7.26186519,-7.26186519,2018-05-24,ACCOUNTS PAYABLE
UNIONS,-0.2852,-0.2852,2018-05-24,STAFF COSTS
LOCAL AP,-3.67510173,-3.68771136,2018-05-24,ACCOUNTS PAYABLE
STD BANK,1.27886165,,2018-05-24,COLLECTIONS
CASHIERS,-0.20180836,-0.20180836,2018-05-24,ACCOUNTS PAYABLE
ABSA BANK,61.2218224,95.0,2018-05-24,COLLECTIONS
ABSA BANK,155.84566248,120.0,2018-05-28,COLLECTIONS
LOCAL AP,-0.20662832,-1.01,2018-05-28,ACCOUNTS PAYABLE
CASHIERS,0.00938315,-0.1,2018-05-28,ACCOUNTS PAYABLE
STD BANK,4.32195512,,2018-05-28,COLLECTIONS
STD BANK,1.45163111,,2018-05-30,COLLECTIONS
ABSA BANK,123.32364294,200.0,2018-05-30,COLLECTIONS
LOCAL AP,-33.51147246,-32.52079868,2018-05-30,ACCOUNTS PAYABLE
CASHIERS,-0.43323274,-0.5,2018-05-30,ACCOUNTS PAYABLE
MONEY MARKET FEES,-0.00469873,-0.00469873,2018-05-30,TREASURY PAYMENTS
SHARE BUY BACK,-3.42828396,-3.42828396,2018-06-01,ADHOC PAYMENTS
SUNDRY PAYMENTS,-0.40187066,-0.40976498,2018-06-01,ACCOUNTS PAYABLE
AP PAYMENTS,-40.95006315,-40.97573502,2018-06-01,ACCOUNTS PAYABLE
OTHER / TELKOM MOBILE,2.21715329,,2018-06-01,COLLECTIONS
ABSA BANK,252.88569979,150.0,2018-06-01,COLLECTIONS
STD BANK,4.07224978,,2018-06-01,COLLECTIONS
LOCAL INTEREST ON CALL,12.60379313,12.63071094,2018-06-01,OTHER INFLOWS
STD BANK,2.15685839,,2018-06-05,COLLECTIONS
ABSA BANK,148.97543313,100.0,2018-06-05,COLLECTIONS
AP PAYMENTS,-1.32970991,-1.43459018,2018-06-05,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.30784506,-0.32540982,2018-06-05,ACCOUNTS PAYABLE
SHARE BUY BACK,-12.18198047,-12.18198047,2018-06-05,ADHOC PAYMENTS
MONEY MARKET SWAP,-0.38974036,-0.38974036,2018-06-05,TREASURY PAYMENTS
INTEREST BONDS/CPs,-13.15342904,-13.15342904,2018-06-05,TREASURY PAYMENTS
"E-FILLING (PAYE, SDL & UIF)",-78.06870266,-78.06870266,2018-06-07,STAFF COSTS
INTEREST REPOS/CARRIES,1.5155319,1.5155319,2018-06-07,TREASURY PAYMENTS
AP PAYMENTS,-0.40585624,-0.50809812,2018-06-07,ACCOUNTS PAYABLE
STD BANK,1.90555035,,2018-06-07,COLLECTIONS
SUNDRY PAYMENTS,-0.26890532,-0.26819922,2018-06-07,ACCOUNTS PAYABLE
ABSA BANK,65.31414963,60.0,2018-06-07,COLLECTIONS
ABSA BANK,69.23025503,165.0,2018-06-11,COLLECTIONS
AP PAYMENTS,-4.14164358,-4.25,2018-06-11,ACCOUNTS PAYABLE
SHARE BUY BACK,-3.6294414,-3.6294414,2018-06-11,ADHOC PAYMENTS
MONEY MARKET SWAP,-0.8641561600000001,-0.8641561600000001,2018-06-11,TREASURY PAYMENTS
INTEREST BONDS/CPs,-17.04554795,-17.04554795,2018-06-11,TREASURY PAYMENTS
STD BANK,1.61456139,,2018-06-11,COLLECTIONS
SHARE BUY BACK,-0.41691714,-0.41691714,2018-06-13,ADHOC PAYMENTS
SUNDRY PAYMENTS,-0.38178242,-0.38178242,2018-06-13,ACCOUNTS PAYABLE
AP PAYMENTS,-0.8730457,-2.91821758,2018-06-13,ACCOUNTS PAYABLE
ABSA BANK,79.53704383,90.0,2018-06-13,COLLECTIONS
STD BANK,1.24939343,,2018-06-13,COLLECTIONS
EXCH. RATE DIFF,-29.17019228,-29.17019228,2018-06-15,TREASURY PAYMENTS
WHOLESALE FOREX PAYMENTS,-2.49072321,-2.49072321,2018-06-15,WHOLESALE PAYMENTS
INTERNATIONAL ROAMING (GSM)  - ,-82.07255525,-82.07255525,2018-06-15,ACCOUNTS PAYABLE
TELKOM MOBILE & DOMESTIC OPERATORS ,-11.66407137,-11.66407137,2018-06-15,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.16587549,-0.16587549,2018-06-15,ACCOUNTS PAYABLE
OTHER / TELKOM MOBILE,18.67551837,,2018-06-15,COLLECTIONS
AP PAYMENTS,-148.94297225,-149.01061572999998,2018-06-15,ACCOUNTS PAYABLE
WHOLESALE FX RECEIPTS,7.35947069,7.35947069,2018-06-15,OTHER INFLOWS
MTN / VODACOM / CELL-C / NEOTEL,37.20613815,,2018-06-15,COLLECTIONS
STD BANK,1.31995587,,2018-06-15,COLLECTIONS
AP FOREX PAYMENTS,-43.77718565,-43.77718565,2018-06-15,ACCOUNTS PAYABLE
ABSA BANK,197.6459749,150.0,2018-06-15,COLLECTIONS
SUNDRY PAYMENTS,-0.24566466,-0.24566466,2018-06-19,ACCOUNTS PAYABLE
SHARE BUY BACK,-2.30192693,-2.30192693,2018-06-19,ADHOC PAYMENTS
AP PAYMENTS,-0.54297965,-0.58871034,2018-06-19,ACCOUNTS PAYABLE
OTHER / TELKOM MOBILE,7.61713425,,2018-06-19,COLLECTIONS
ABSA BANK,109.81666457,200.0,2018-06-19,COLLECTIONS
TRUDON COLLECTIONS REFUND,-59.915625,-59.915625,2018-06-19,OTHER INFLOWS
STD BANK,3.18196321,,2018-06-19,COLLECTIONS
STD BANK,1.32259119,,2018-06-21,COLLECTIONS
ABSA BANK,90.88792833,65.0,2018-06-21,COLLECTIONS
LOCAL INTEREST ON CALL,1.07280274,1.07280274,2018-06-21,OTHER INFLOWS
AP PAYMENTS,-77.15297507,-77.19646451000001,2018-06-21,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.34806995,-0.35353549,2018-06-21,ACCOUNTS PAYABLE
WHOLESALE FOREX PAYMENTS,-1.26043539,-1.26043539,2018-06-21,WHOLESALE PAYMENTS
INTEREST REPOS/CARRIES,5.630545919999999,5.630545919999999,2018-06-21,TREASURY PAYMENTS
MONEY MARKET FEES,-0.3388767,-0.3388767,2018-06-21,TREASURY PAYMENTS
DIRECTOR'S FEES,-2.89745147,-2.89745147,2018-06-25,TREASURY PAYMENTS
DIVIDENDS,-489.13732643000003,-490.62731994,2018-06-25,ADHOC PAYMENTS
OTHER EMPLOYEE COSTS,-1.52204634,-1.52204634,2018-06-25,STAFF COSTS
SHORT TERM INCENTIVE,-156.56,-156.57,2018-06-25,STAFF COSTS
ABSA BANK,162.6370127,130.0,2018-06-25,COLLECTIONS
BONDS,-14.49734957,-14.49734957,2018-06-25,STAFF COSTS
SUNDRY PAYMENTS,-0.43279513,-0.43279513,2018-06-25,ACCOUNTS PAYABLE
AP PAYMENTS,-1.13147554,-1.54444929,2018-06-25,ACCOUNTS PAYABLE
SALARIES,-205.05608066,-205.05608066,2018-06-25,STAFF COSTS
STD BANK,2.12182258,,2018-06-25,COLLECTIONS
STD BANK,1.6799071,,2018-06-27,COLLECTIONS
ABSA BANK,146.80844086,165.0,2018-06-27,COLLECTIONS
AP PAYMENTS,-1.56318286,-1.63821862,2018-06-27,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.22900978,-0.24178138,2018-06-27,ACCOUNTS PAYABLE
MEDICAL SCHEMES incl. PENSIONERS,-37.13069804,-37.13069804,2018-06-29,STAFF COSTS
OTHER EMPLOYEE COSTS,-6.96196142,-6.96196142,2018-06-29,STAFF COSTS
PENSIONS,-0.219087,-0.219087,2018-06-29,STAFF COSTS
INTEREST LOANS,-11.48991781,-11.48991781,2018-06-29,TREASURY PAYMENTS
EXCH. RATE DIFF,37.96384872,37.96384872,2018-06-29,TREASURY PAYMENTS
OTHER ,2.58631411,,2018-06-29,STAFF COSTS
VAT,-99.26507207,-99.26507207,2018-06-29,SARS
SUNDRY PAYMENTS,-0.39037359,-0.41803451,2018-06-29,ACCOUNTS PAYABLE
INTERNATIONAL ROAMING (GSM)  - ,-69.02875,-69.02875,2018-06-29,ACCOUNTS PAYABLE
BCX,-464.31495496,-464.31495496,2018-06-29,ACCOUNTS PAYABLE
AP FOREX PAYMENTS,-234.01430368,-234.01430368,2018-06-29,ACCOUNTS PAYABLE
AP PAYMENTS,-1245.0558099999998,-1243.46332413,2018-06-29,ACCOUNTS PAYABLE
WHOLESALE FX RECEIPTS,26.87632807,26.87632807,2018-06-29,OTHER INFLOWS
ABSA BANK,670.86263301,602.0,2018-06-29,COLLECTIONS
STD BANK,2.43852702,,2018-06-29,COLLECTIONS
WHOLESALE FOREX PAYMENTS,-19.58396405,-19.58396405,2018-06-29,WHOLESALE PAYMENTS
INTEREST LOANS,-3.02054795,-3.02054795,2018-07-02,TREASURY PAYMENTS
OTHER ,1.0060581,,2018-07-02,STAFF COSTS
MONEY MARKET FEES,-0.06666435,-0.06666435,2018-07-02,TREASURY PAYMENTS
LOCAL INTEREST ON CALL,9.68910273,9.68910273,2018-07-02,OTHER INFLOWS
ABSA BANK,205.89500478,170.0,2018-07-02,COLLECTIONS
STD BANK,3.50873157,,2018-07-02,COLLECTIONS
BIDVEST/BROLL PAYMENTS,-83.79354446,-83.9,2018-07-02,ACCOUNTS PAYABLE
STD BANK,1.84955165,,2018-07-04,COLLECTIONS
ABSA BANK,74.70549896,120.0,2018-07-04,COLLECTIONS
AP PAYMENTS,-2.57469661,-2.58208576,2018-07-04,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.39791424,-0.39791424,2018-07-04,ACCOUNTS PAYABLE
STD BANK,2.1882598,,2018-07-06,COLLECTIONS
ABSA BANK,79.63507487,140.0,2018-07-06,COLLECTIONS
AP PAYMENTS,-21.27739624,-21.19914493,2018-07-06,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.41571287,-0.4664089,2018-07-06,ACCOUNTS PAYABLE
"E-FILLING (PAYE, SDL & UIF)",-270.47444617,-270.47444617,2018-07-06,STAFF COSTS
OTHER ,6.01675922,,2018-07-10,STAFF COSTS
MONEY MARKET FEES,-1.19388072,-1.19388072,2018-07-10,TREASURY PAYMENTS
AP PAYMENTS,-0.27799751,-0.37799751,2018-07-10,ACCOUNTS PAYABLE
ABSA BANK,130.57991826,110.0,2018-07-10,COLLECTIONS
SUNDRY PAYMENTS,-0.20808523,-0.22200249,2018-07-10,ACCOUNTS PAYABLE
STD BANK,1.93675306,,2018-07-10,COLLECTIONS
STD BANK,1.30146654,,2018-07-12,COLLECTIONS
ABSA BANK,61.7179889,100.0,2018-07-12,COLLECTIONS
AP PAYMENTS,-0.22135027,-0.33544661,2018-07-12,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.22455339,-0.22455339,2018-07-12,ACCOUNTS PAYABLE
STD BANK,1.88980488,,2018-07-16,COLLECTIONS
ABSA BANK,166.88293174,230.0,2018-07-16,COLLECTIONS
MTN / VODACOM / CELL-C / NEOTEL,21.84181914,,2018-07-16,COLLECTIONS
AP PAYMENTS,-0.17120917,-0.3,2018-07-16,ACCOUNTS PAYABLE
OTHER ,24.09485406,,2018-07-16,STAFF COSTS
OTHER ,23.36088722,,2018-07-18,STAFF COSTS
INTERNATIONAL ROAMING (GSM)  - ,-1.53899302,-1.53899302,2018-07-18,ACCOUNTS PAYABLE
TELKOM MOBILE & DOMESTIC OPERATORS ,-1.76692898,-1.76692898,2018-07-18,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.24022202,-0.23991938,2018-07-18,ACCOUNTS PAYABLE
AP PAYMENTS,-0.23963324,-0.27415862,2018-07-18,ACCOUNTS PAYABLE
ABSA BANK,107.68610929,100.0,2018-07-18,COLLECTIONS
STD BANK,1.2899393,,2018-07-18,COLLECTIONS
STD BANK,2.02404218,,2018-07-20,COLLECTIONS
ABSA BANK,109.91076451,90.0,2018-07-20,COLLECTIONS
AP PAYMENTS,-17.13489869,-17.13525881,2018-07-20,ACCOUNTS PAYABLE
BIDVEST/BROLL PAYMENTS,-0.07264545,-0.07264545,2018-07-20,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.33850511,-0.31057492,2018-07-20,ACCOUNTS PAYABLE
TELKOM MOBILE & DOMESTIC OPERATORS ,-10.62421275,-10.62421275,2018-07-20,ACCOUNTS PAYABLE
INTERNATIONAL ROAMING (GSM)  - ,-5.357308069999999,-5.357308069999999,2018-07-20,ACCOUNTS PAYABLE
EXCH. RATE DIFF,-0.03175145,-0.03175145,2018-07-20,TREASURY PAYMENTS
MONEY MARKET FEES,-0.80198561,-0.80198561,2018-07-24,TREASURY PAYMENTS
MONEY MARKET SWAP,-0.71054795,-0.71054795,2018-07-24,TREASURY PAYMENTS
OTHER ,0.62447474,,2018-07-24,STAFF COSTS
UNIONS,-0.28688,-0.28688,2018-07-24,STAFF COSTS
INTERNATIONAL ROAMING (GSM)  - ,-7.91259151,-7.91259151,2018-07-24,ACCOUNTS PAYABLE
STD BANK,3.07907664,,2018-07-24,COLLECTIONS
TELKOM MOBILE & DOMESTIC OPERATORS ,-0.21117837,-0.21117837,2018-07-24,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.17763805,-0.17763805,2018-07-24,ACCOUNTS PAYABLE
AP PAYMENTS,-2.12491115,-2.20307283,2018-07-24,ACCOUNTS PAYABLE
PENSIONS,-52.60863924,-52.60863924,2018-07-24,STAFF COSTS
ABSA BANK,72.3523516,90.0,2018-07-24,COLLECTIONS
STD BANK,2.01249036,,2018-07-26,COLLECTIONS
ABSA BANK,119.53731537,180.0,2018-07-26,COLLECTIONS
BCX CREDITOR RECEIPTS,100.12250643,,2018-07-26,OTHER INFLOWS
AP PAYMENTS,-0.87607268,-0.99184013,2018-07-26,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.14022519,-0.15815987,2018-07-26,ACCOUNTS PAYABLE
BIDVEST/BROLL PAYMENTS,-34.80297546,-34.80297546,2018-07-30,ACCOUNTS PAYABLE
MONEY MARKET FEES,-0.0047883,-0.0047883,2018-07-30,TREASURY PAYMENTS
BCX CREDITOR RECEIPTS,5.18060595,,2018-07-30,OTHER INFLOWS
ABSA BANK,96.18787159,180.0,2018-07-30,COLLECTIONS
STD BANK,3.07880499,,2018-07-30,COLLECTIONS
AP PAYMENTS,-2.42025071,-2.59702454,2018-07-30,ACCOUNTS PAYABLE
OTHER ,14.14289152,,2018-07-30,STAFF COSTS
STD BANK,3.41504915,,2018-08-01,COLLECTIONS
ABSA BANK,117.97648073,150.0,2018-08-01,COLLECTIONS
LOCAL INTEREST ON CALL,7.47456849,7.47456849,2018-08-01,OTHER INFLOWS
AP PAYMENTS,-11.06260957,-13.12869754,2018-08-01,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.2638719,-0.24005751,2018-08-01,ACCOUNTS PAYABLE
INTERNATIONAL ROAMING (GSM)  - ,-7.63124495,-7.63124495,2018-08-01,ACCOUNTS PAYABLE
INTEREST LOANS,-3.12123288,-3.12123288,2018-08-01,TREASURY PAYMENTS
STD BANK,1.03446179,,2018-08-03,COLLECTIONS
ABSA BANK,164.2630511,150.0,2018-08-03,COLLECTIONS
AP PAYMENTS,-25.65979658,-34.3028719,2018-08-03,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.28564046,-0.4871281,2018-08-03,ACCOUNTS PAYABLE
"E-FILLING (PAYE, SDL & UIF)",-98.71322965,-98.71322965,2018-08-07,STAFF COSTS
SUNDRY PAYMENTS,-0.3036071,-0.10655731,2018-08-07,ACCOUNTS PAYABLE
STD BANK,2.12798626,,2018-08-07,COLLECTIONS
OTHER / TELKOM MOBILE,10.55342888,,2018-08-07,COLLECTIONS
ABSA BANK,80.56399641,85.0,2018-08-07,COLLECTIONS
AP PAYMENTS,-9.00968085,-9.04021304,2018-08-07,ACCOUNTS PAYABLE
AP PAYMENTS,-0.16621408,-0.27,2018-08-13,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.0015127,,2018-08-13,ACCOUNTS PAYABLE
OTHER ,0.72703889,,2018-08-13,STAFF COSTS
STD BANK,1.97743471,,2018-08-13,COLLECTIONS
ABSA BANK,85.43049692,190.0,2018-08-13,COLLECTIONS
EXCH. RATE DIFF,-6.99,-6.99,2018-08-15,TREASURY PAYMENTS
WHOLESALE FOREX PAYMENTS,-5.63828466,-5.63828466,2018-08-15,WHOLESALE PAYMENTS
INTERNATIONAL ROAMING (GSM)  - ,-85.56929683,-85.56929683,2018-08-15,ACCOUNTS PAYABLE
SUNDRY PAYMENTS,-0.30246051,-0.30246051,2018-08-15,ACCOUNTS PAYABLE
TELKOM MOBILE & DOMESTIC OPERATORS ,-6.49438456,-6.49438456,2018-08-15,ACCOUNTS PAYABLE
AP PAYMENTS,-38.79532976,-38.79637195,2018-08-15,ACCOUNTS PAYABLE
WHOLESALE FX RECEIPTS,14.63946473,14.63946473,2018-08-15,OTHER INFLOWS
MTN / VODACOM / CELL-C / NEOTEL,38.45066283,,2018-08-15,COLLECTIONS
OTHER / TELKOM MOBILE,14.47078865,,2018-08-15,COLLECTIONS
